State,Confirmed,Recovered,Deaths,Active,Last_Updated_Time,Migrated_Other,State_code,Delta_Confirmed,Delta_Recovered,Delta_Deaths,
Total,6764710,5750403,104651,908700,7/10/2020 18:13,956,TT,10531,9150,60,
Maharashtra,1465911,1179726,38717,247023,7/10/2020 1:01,445,MH,0,0,0,
Andhra Pradesh,734427,678828,6086,49513,7/10/2020 17:50,0,AP,5120,6349,34,
Karnataka,657705,533074,9461,115151,6/10/2020 21:50,19,KA,0,0,0,
Tamil Nadu,630408,575212,9917,45279,6/10/2020 19:40,0,TN,0,0,0,
Uttar Pradesh,420937,370753,6153,44031,6/10/2020 19:40,0,UP,0,0,0,
Delhi,295236,266935,5581,22720,6/10/2020 20:55,0,DL,0,0,0,
West Bengal,277049,243743,5318,27988,6/10/2020 20:55,0,WB,0,0,0,
Odisha,240998,210217,1011,29770,7/10/2020 14:46,0,OR,2995,0,18,
Kerala,242800,154092,885,87738,6/10/2020 19:24,85,KL,0,0,0,
Telangana,204748,177008,1189,26551,7/10/2020 11:01,0,TG,2154,2239,8,
Bihar,190123,177929,925,11268,6/10/2020 19:40,1,BR,0,0,0,
Assam,188902,155074,778,33047,7/10/2020 0:28,3,AS,0,0,0,
Gujarat,145361,125343,3522,16496,6/10/2020 20:56,0,GJ,0,0,0,
Rajasthan,148316,125448,1574,21294,6/10/2020 20:56,0,RJ,0,0,0,
Madhya Pradesh,138668,118039,2488,18141,6/10/2020 20:56,0,MP,0,0,0,
Haryana,136115,123286,1509,11320,6/10/2020 21:50,0,HR,0,0,0,
Chhattisgarh,128893,100551,1104,27238,6/10/2020 22:54,0,CT,0,0,0,
Punjab,120016,104355,3679,11982,6/10/2020 21:50,0,PB,0,0,0,
Jharkhand,88873,78089,757,10027,6/10/2020 22:26,0,JH,0,0,0,
Jammu and Kashmir,80476,65496,1268,13712,6/10/2020 20:56,0,JK,0,0,0,
Uttarakhand,52329,42968,677,8414,6/10/2020 20:56,270,UT,0,0,0,
Goa,36238,31050,468,4720,6/10/2020 20:56,0,GA,0,0,0,
Puducherry,29682,24614,546,4522,6/10/2020 20:56,0,PY,0,0,0,
Tripura,27542,22654,298,4567,7/10/2020 9:40,23,TR,237,546,0,
Himachal Pradesh,16283,12898,224,3136,6/10/2020 21:51,25,HP,0,0,0,
Chandigarh,12707,11035,180,1492,6/10/2020 20:56,0,CH,0,0,0,
Manipur,12240,9482,78,2680,6/10/2020 20:56,0,MN,0,0,0,
Arunachal Pradesh,11007,7965,20,3022,7/10/2020 0:28,0,AR,0,0,0,
Meghalaya,7037,4606,60,2371,7/10/2020 0:28,0,ML,0,0,0,
Nagaland,6662,5414,12,1179,6/10/2020 20:56,57,NL,0,0,0,
Ladakh,4720,3464,61,1195,7/10/2020 0:38,0,LA,0,0,0,
Andaman and Nicobar Islands,3912,3678,54,180,6/10/2020 22:26,0,AN,0,0,0,
Dadra and Nagar Haveli and Daman and Diu,3106,2976,2,100,7/10/2020 18:13,28,DN,5,8,0,
Sikkim,3135,2506,49,580,6/10/2020 22:26,0,SK,0,0,0,
Mizoram,2148,1895,0,253,7/10/2020 17:51,0,MZ,20,8,0,
State Unassigned,0,0,0,0,19/07/2020 09:40:01,0,UN,0,0,0,
Lakshadweep,0,0,0,0,26/03/2020 07:19:29,0,LD,0,0,0,
